#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
stone                                             (tconstruct:molten_stone)                                                        = ÈÛÈÚ½¹ºÚÊ¯Í·
scorched                                          (contenttweaker:scorched)                                                        = ÈÛÈÚ¸ßÂ¯×©
modularium                                        (contenttweaker:modularium)                                                      = ÈÛÈÚÄ£¿é»¯ºÏ½ğ
meteor                                            (contenttweaker:meteor)                                                          = ÈÛÈÚÔÉĞÇ
chromium                                          (jaopca:fluid_moltenchromium)                                                    = ÈÛÈÚ¸õ
stainless_steel                                   (contenttweaker:stainless_steel)                                                 = ÈÛÈÚ²»Ğâ¸Ö
protonium                                         (contenttweaker:protonium)                                                       = ¼«ÃÜÖÊ×ÓÁ÷Ìå
electronium                                       (contenttweaker:electronium)                                                     = Õ³ĞÔµç×ÓÁ÷ÖÊ
crimsonite                                        (contenttweaker:crimsonite)                                                      = ĞÉºì½¬Òº
aqualite                                          (jaopca:fluid_moltenaqualite)                                                    = ÈÛÈÚË®»ª
manganese                                         ([no block])                                                                     = ÈÛÈÚÃÌ
manganese_steel                                   (contenttweaker:manganese_steel)                                                 = ÈÛÈÚÃÌ¸Ö
mithril                                           (jaopca:fluid_moltenmithril)                                                     = ÈÛÈÚÃØÒø
durasteel                                         (contenttweaker:durasteel)                                                       = ÈÛÈÚÄÍ¸Ö
aeonsteel                                         (contenttweaker:aeonsteel)                                                       = ÈÛÈÚºã¸Ö
chromasteel                                       (contenttweaker:chromasteel)                                                     = ÈÛÈÚìÅ¸Ö
spectre                                           (contenttweaker:spectre)                                                         = Áé»êÖ®Èª
gaiasteel                                         (contenttweaker:gaiasteel)                                                       = ÈÛÈÚ¸ÇÑÇ¸Ö
bloodcrust                                        (tconstruct:molten_bloodcrust)                                                   = ÈÛÈÚµØÓüÊ¯
hellcrust                                         (contenttweaker:hellcrust)                                                       = ÈÛÈÚ½¹ÑÒ
umbra                                             (contenttweaker:umbra)                                                           = ÈÛÈÚ±¾Ó°
crystalline                                       (contenttweaker:crystalline)                                                     = ÈÛÈÚÔÂÄı¾§
aurorianite                                       (contenttweaker:aurorianite)                                                     = ÈÛÈÚ¼«¹â
niobium                                           (contenttweaker:niobium)                                                         = ÈÛÈÚîê
flairium                                          (tconstruct:molten_flairium)                                                     = ÈÛÈÚ°µ½ğ
des                                               (tconstruct:molten_des)                                                          = ÈÛÈÚµå¸Ö
orbadite                                          (tconstruct:molten_orbadite)                                                     = ÈÛÈÚÁ×Ìú
storon                                            (tconstruct:molten_storon)                                                       = ÈÛÈÚÌì½ğ
korite                                            (tconstruct:molten_korite)                                                       = ÈÛÈÚÀ¶ê×
horizonite                                        (contenttweaker:horizonite)                                                      = ÈÛÈÚÑ×Ìú
falsite                                           (contenttweaker:falsite)                                                         = ÈÛÈÚÎ±Ää
ventium                                           (contenttweaker:ventium)                                                         = ÈÛÈÚ·çÌÚ
mekyum                                            (tconstruct:molten_mekyum)                                                       = ÈÛÈÚ×ÏÔÆÄ¸
celestium                                         (tconstruct:molten_celestium)                                                    = ÈÛÈÚÌìÇà
irisia                                            (tiths:molten_irisia)                                                            = ÈÛÈÚ°¬ÈğÎ÷ÑÇ
swinium                                           (jaopca:fluid_moltenswinium)                                                     = ÈÛÈÚ»ÔÍ­
manarium                                          (jaopca:fluid_moltenmanarium)                                                    = ÈÛÈÚÀ¶Ñæ½ğÊô
lighteum                                          (jaopca:fluid_moltenlighteum)                                                    = ÈÛÈÚÃ÷Ìú
stripium                                          (jaopca:fluid_moltenstripium)                                                    = ÈÛÈÚÎÆ½ğ
heavenite                                         (contenttweaker:heavenite)                                                       = ÈÛÈÚñ·½ğ
ghostite                                          (contenttweaker:ghostite)                                                        = ÈÛÈÚ¹í½ğ
waringlium                                        (contenttweaker:waringlium)                                                      = ÈÛÈÚÍßÂ×¸ñ¶û
cloudite                                          (jaopca:fluid_moltencloudite)                                                    = ÈÛÈÚÔÆÒø
mangisite                                         (jaopca:fluid_moltenmangisite)                                                   = ÈÛÈÚÂüÇĞË¹ÌØ
soilium                                           (jaopca:fluid_moltensoilium)                                                     = ÈÛÈÚË÷ÀïÄ·
tierite                                           (contenttweaker:tierite)                                                         = ÈÛÈÚ²øÈÆºÏ½ğ
cheatieum                                         (contenttweaker:cheatieum)                                                       = ÈÛÈÚ¹îÊõºÏ½ğ
idiessite                                         (contenttweaker:idiessite)                                                       = ÈÛÈÚÒÁµÏË¹
moltenium                                         (contenttweaker:moltenium)                                                       = ÈÛÈÚÑ×ÈÛ¾§
ranglium                                          (contenttweaker:ranglium)                                                        = ÈÛÈÚÂÍ½ğ
vanadium                                          (jaopca:fluid_moltenvanadium)                                                    = ÈÛÈÚ·°
oneo                                              (jaopca:fluid_moltenoneo)                                                        = ÈÛÈÚÒ¼ËØ
togrium                                           (jaopca:fluid_moltentogrium)                                                     = ÈÛÈÚÍĞ¸ñÄ·
yoggleseum                                        (jaopca:fluid_moltenyoggleseum)                                                  = ÈÛÈÚÔ¼¸ñË¹
breakium                                          (jaopca:fluid_moltenbreakium)                                                    = ÈÛÈÚ¶Ï½ğ
godiarite                                         (contenttweaker:godiarite)                                                       = ÈÛÈÚÌìÓÓºÏ½ğ
rainite                                           (contenttweaker:rainite)                                                         = ÈÛÈÚ±©ÓêºÏ½ğ
panloeseum                                        (contenttweaker:panloeseum)                                                      = ÈÛÈÚÅËÂåË¹
molybdenum                                        (nuclearcraft:fluid_molybdenum)                                                  = ÈÛÈÚîâ
dawnium                                           (jaopca:fluid_moltendawnium)                                                     = ÈÛÈÚÔÉÁé½ğ
fenzium                                           (jaopca:fluid_moltenfenzium)                                                     = ÈÛÈÚ·á½ğ
xenidium                                          (jaopca:fluid_moltenxenidium)                                                    = ÈÛÈÚĞşÒø
fallenium                                         (contenttweaker:fallenium)                                                       = ÈÛÈÚÂä½ğ
phoenixite                                        (contenttweaker:phoenixite)                                                      = ÈÛÈÚ·ï»ËºÏ½ğ
depthite                                          (contenttweaker:depthite)                                                        = ÈÛÈÚÉîåäºÏ½ğ
sissidium                                         (jaopca:fluid_moltensissidium)                                                   = ÈÛÈÚÏ£Ë¹µÙÄ·
ttwo                                              (jaopca:fluid_moltenttwo)                                                        = ÈÛÈÚ·¡ËØ
losessium                                         (jaopca:fluid_moltenlosessium)                                                   = ÈÛÈÚ²ĞÄî½ğÊô
indium                                            (jaopca:fluid_moltenindium)                                                      = ÈÛÈÚî÷
lovaquite                                         (contenttweaker:lovaquite)                                                       = ÈÛÈÚÂåÍß¿Ë
rangolarite                                       (contenttweaker:rangolarite)                                                     = ÈÛÈÚÀÊ¸ñÀ­
clearite                                          (contenttweaker:clearite)                                                        = ÈÛÈÚÇçÌìºÏ½ğ
wefenium                                          (contenttweaker:wefenium)                                                        = ÈÛÈÚ¼â¾§
technetium                                        (jaopca:fluid_moltentechnetium)                                                  = ÈÛÈÚï½
rubium                                            (jaopca:fluid_moltenrubium)                                                      = ÈÛÈÚÉîºì½ğÊô
rapesesium                                        (jaopca:fluid_moltenrapesesium)                                                  = ÈÛÈÚÀ­ÆÕÎ÷Ë¹
circlium                                          (jaopca:fluid_moltencirclium)                                                    = ÈÛÈÚ»·½ğ
errorite                                          (contenttweaker:errorite)                                                        = ÈÛÈÚ´íÎóºÏ½ğ
numbereum                                         (contenttweaker:numbereum)                                                       = ÈÛÈÚÊı×ÖºÏ½ğ
treasurite                                        (contenttweaker:treasurite)                                                      = ÈÛÈÚ±¦½ğ
leadite                                           (contenttweaker:leadite)                                                         = ÈÛÈÚµ¼½ğ
cestium                                           (jaopca:fluid_moltencestium)                                                     = ÈÛÈÚÈûË¹Ìá
fraxinium                                         (jaopca:fluid_moltenfraxinium)                                                   = ÈÛÈÚ¸¥À­¿Ë
martisite                                         (contenttweaker:martisite)                                                       = ÈÛÈÚÕ½ÉñºÏ½ğ
flashite                                          (contenttweaker:flashite)                                                        = ÈÛÈÚÉÁ½ğ
overlaite                                         (contenttweaker:overlaite)                                                       = ÈÛÈÚµş½ğ
dragonsteel_fire                                  (tconstruct:molten_dragonsteel_fire)                                             = ÈÛÈÚÁúÑ×¸Ö
dragonsteel_ice                                   (tconstruct:molten_dragonsteel_ice)                                              = ÈÛÈÚÁúËª¸Ö 
molten_blood_infused_iron                         (bloodarsenal:bloodarsenal.molten_blood_infused_iron)                            = ÈÛÈÚ×¢ÑªÌú
umbrium                                           (defiledlands:molten_umbrium)                                                    = ÈÛÈÚÓ°ËØ
xu_evil_metal                                     ([no block])                                                                     = ¶ñÄ§¹à×¢Ìú
xu_enchanted_metal                                ([no block])                                                                     = ¸½Ä§½ğÊô
xu_demonic_metal                                  ([no block])                                                                     = ÈÛÈÚ¶ñÄ§½ğÊô
sky_stone                                         ([no block])                                                                     = ÈÛÈÚÔÉÊ¯
fluix_steel                                       ([no block])                                                                     = ÈÛÈÚ¸£Â³ÒÁ¿ËË¹¸Ö
starmetal                                         ([no block])                                                                     = ÈÛÈÚĞÇ»Ô
crystal_matrix                                    ([no block])                                                                     = ²»¶¨ĞÍË®¾§¾ØÕó
neutronium                                        ([no block])                                                                     = ³¬ÃÜÖĞ×ÓÁ÷Ìå
infinity_metal                                    ([no block])                                                                     = ÎŞ¾¡Ó¿Á÷
bound_metal                                       ([no block])                                                                     = ÈÛÈÚÊø¸¿½ğÊô
sentient_metal                                    ([no block])                                                                     = ¸ĞÖªÁ÷ÖÊ
livingrock                                        ([no block])                                                                     = ÈÛÈÚ»îÊ¯
manasteel                                         ([no block])                                                                     = ÈÛÈÚÄ§Á¦¸Ö
terrasteel                                        ([no block])                                                                     = ÈÛÈÚÌ©À­¸Ö
elementium                                        ([no block])                                                                     = ÈÛÈÚÔ´ÖÊ¸Ö
draconium                                         ([no block])                                                                     = ÈÛÈÚÁúËØ
wyvern_metal                                      ([no block])                                                                     = ·ÉÁú¾ÛºÏÎï
draconic_metal                                    ([no block])                                                                     = ÉñÁú¾ÛºÏÎï
chaotic_metal                                     ([no block])                                                                     = »ìãç½â¹¹ÖÊ
iridium                                           ([no block])                                                                     = ÈÛÈÚÒ¿
osmium                                            ([no block])                                                                     = ÈÛÈÚï°
refined_obsidian                                  ([no block])                                                                     = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refined_glowstone                                 ([no block])                                                                     = ÈÛÈÚÇ¿»¯Ó«Ê¯
dark_matter                                       ([no block])                                                                     = °µÁ÷ÖÊ
red_matter                                        ([no block])                                                                     = ºìÁ÷ÖÊ
fluxed_electrum                                   ([no block])                                                                     = ÈÛÈÚºìÊ¯çúçê½ğ
gelid_enderium                                    ([no block])                                                                     = ÈÛÈÚ¼«º®Ä©Ó°
thaumium                                          ([no block])                                                                     = ÈÛÈÚÉñÃØ
void_metal                                        ([no block])                                                                     = ÈÛÈÚĞé¿Õ½ğÊô
primal_metal                                      ([no block])                                                                     = ÈÛÈÚÔª½ğ
tin                                               (tconstruct:molten_tin)                                                          = ÈÛÈÚÎı
aluminum                                          (tconstruct:molten_aluminum)                                                     = ÈÛÈÚÂÁ
nickel                                            (tconstruct:molten_nickel)                                                       = ÈÛÈÚÄø
platinum                                          (tconstruct:molten_platinum)                                                     = ÈÛÈÚ²¬
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        ([no block])                                                                     = ÈÛÈÚ¿µÍ­
signalum                                          (tconstruct:molten_signalum)                                                     = ÈÛÈÚĞÅËØ
lumium                                            (tconstruct:molten_lumium)                                                       = ÈÛÈÚÁ÷Ã÷
enderium                                          (tconstruct:molten_enderium)                                                     = ÈÛÈÚÄ©Ó°
boron                                             (tconstruct:molten_boron)                                                        = ÈÛÈÚÅğ
tough                                             (nuclearcraft:fluid_tough)                                                       = ÈÛÈÚ¸ßÇ¿ºÏ½ğ
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = ÈÛÈÚÓ²Ì¼ºÏ½ğ
thorium                                           (tconstruct:molten_thorium)                                                      = ÈÛÈÚîÊ
uranium                                           (tconstruct:molten_uranium)                                                      = ÈÛÈÚÓË
magnesium                                         (tconstruct:molten_magnesium)                                                    = ÈÛÈÚÃ¾
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = ÈÛÈÚÌ©²®ÀûÑÇ
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = ÈÛÈÚ¼«¹â½ğÊô
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = ÈÛÈÚÆÕÂŞÄ·
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = ÈÛÈÚÄÍÁ¦½ğÊô
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = ÈÛÈÚÍßÀ×ÀûÑÇ
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = ÈÛÈÚÕñ½ğ
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = ÈÛÈÚµØÄ¸
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = ÈÛÈÚîÙ
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = ÈÛÈÚÎí½ğ
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = ÈÛÈÚÁãËØ
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = ÈÛÈÚĞşÎäÑÒ
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = ÈÛÈÚÌ©²®Àû°²
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = ÈÛÈÚËé½ğ
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = ÈÛÈÚÉªÀ¶
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = ÈÛÈÚÆÕÂŞ¿ËÏ£
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = ÈÛÈÚäö½ğ
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = ÈÛÈÚÑæ¾§
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = ÈÛÈÚµÛ½ğ
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = ÈÛÈÚÑô¹âºÏ½ğ
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = ÈÛÈÚĞé½ğ
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = ÈÛÈÚ¾«½ğ
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = ÈÛÈÚÁÒ½ğ
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = ÈÛÈÚ·ø¹âºÏ½ğ
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = ÈÛÈÚÁ÷¹âºÏ½ğ
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = ÈÛÈÚµØ¶¯ºÏ½ğ
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = ÈÛÈÚê×½ğ
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = ÈÛÈÚÄá²©
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = ÈÛÈÚÔ­½ğ
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = ÈÛÈÚÔÉÌú
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = ÈÛÈÚºÚÔÉÌú
alumite                                           (plustic:plustic.molten_alumite)                                                 = ÈÛÈÚÄÍËáÂÁ
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = ÈÛÈÚï°Ó«ºÚê×ºÏ½ğ
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = ÈÛÈÚÒ¿ï°ºÏ½ğ
liquidfusionite                                   (moretcon:liquidfusionite)                                                       = ÈÛÈÚ¾Û±ä
liquidirradium                                    (moretcon:liquidirradium)                                                        = ÈÛÈÚÒ¿ÀØºÏ½ğ
liquidsolarsteel                                  (moretcon:liquidsolarsteel)                                                      = ÈÛÈÚÌ«Ñô¸Ö
liquidgallium                                     (moretcon:liquidgallium)                                                         = ÈÛÈÚïØ
liquidrunesteel                                   (moretcon:liquidrunesteel)                                                       = ÈÛÈÚ·ûÎÄ¸Ö
liquidgravitonium                                 (moretcon:liquidgravitonium)                                                     = ÈÛÈÚÖØÁ¦½ğ
liquidtrichromadentium                            (moretcon:liquidtrichromadentium)                                                = ÈÛÈÚÈıÉ«ºÏ½ğ
liquidironwood                                    (moretcon:liquidironwood)                                                        = ÈÛÈÚÌúÊ÷
liquidpenguinite                                  (moretcon:liquidpenguinite)                                                      = ÈÛÈÚÆó¶ì
liquidsyrmorite                                   (moretcon:liquidsyrmorite)                                                       = ÈÛÈÚÈüÄ¦Í­
liquidoctine                                      (moretcon:liquidoctine)                                                          = ÈÛÈÚ³ãÑ×Ìú
liquidswampsteel                                  (moretcon:liquidswampsteel)                                                      = ÈÛÈÚÕÓÔó¸Ö
liquidrotiron                                     (moretcon:liquidrotiron)                                                         = ÈÛÈÚ¸¯»¯Í­
soulium                                           (mysticalagradditions:molten_soulium)                                            = ÈÛÈÚÀë»ê
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = ÈÛÈÚ»ù´¡¾«»ª
inferium                                          (mysticalagradditions:molten_inferium)                                           = ÈÛÈÚÏÂ¼¶¾«»ª
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = ÈÛÈÚ³õ¼¶¾«»ª
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = ÈÛÈÚÖĞ¼¶¾«»ª
superium                                          (mysticalagradditions:molten_superium)                                           = ÈÛÈÚ¸ß¼¶¾«»ª
supremium                                         (mysticalagradditions:molten_supremium)                                          = ÈÛÈÚÖÕ¼«¾«»ª
dawnstone                                         (embers:dawnstone)                                                               = ÈÛÈÚÀèÃ÷Ê¯
antimony                                          ([no block])                                                                     = ÈÛÈÚÌà
thyminite                                         (pewter:molten_thyminite)                                                        = Molten ĞØÏÙà×
guaninite                                         (pewter:molten_guaninite)                                                        = Molten ÄñàÑßÊ
adeninite                                         (pewter:molten_adeninite)                                                        = Molten ÏÙàÑßÊ
genite                                            (pewter:molten_genite)                                                           = Molten »ùÒò½ğÊô
aetherium                                         (pewter:molten_aetherium)                                                        = Molten ÒÔÌ«
lavarite                                          (pewter:molten_lavarite)                                                         = Molten ÈÛ½¬
snowingium                                        (pewter:molten_snowingium)                                                       = Molten ËéÑ©
canopium                                          (pewter:molten_canopium)                                                         = Molten ²Ôñ·
plasmarite                                        (pewter:molten_plasmarite)                                                       = Molten µÈÀë×Ó
freezite                                          (pewter:molten_freezite)                                                         = Molten ·â¾§
mistium                                           (pewter:molten_mistium)                                                          = Molten çÎç¿
bnightium                                         (pewter:molten_bnightium)                                                        = Molten Ò¹Ã÷
oceanium                                          (pewter:molten_oceanium)                                                         = Molten ºÆå«
sky_alloy                                         (pewter:molten_sky_alloy)                                                        = Molten Ìì¿ÕºÏ½ğ
fire_alloy                                        (pewter:molten_fire_alloy)                                                       = Molten ³ãÑ×ºÏ½ğ
ice_alloy                                         (pewter:molten_ice_alloy)                                                        = Molten Ğş±ùºÏ½ğ
everite                                           (pewter:molten_everite)                                                          = Molten Íò»¯
fallen_metal                                      (pewter:molten_fallen_metal)                                                     = Molten ¶éÂä
relifed_metal                                     (pewter:molten_relifed_metal)                                                    = Molten ÖØÉú
stormy_metal                                      (pewter:molten_stormy_metal)                                                     = Molten ·ç±©
ordered_metal                                     (pewter:molten_ordered_metal)                                                    = Molten ÖÈĞò
elfsteel                                          (pewter:molten_elfsteel)                                                         = Molten ¾«Áé¸Ö
mythsteel                                         (pewter:molten_mythsteel)                                                        = Molten Éñ»°¸Ö
apocalypsium                                      (pewter:molten_apocalypsium)                                                     = Molten ÌìÆô
sanite                                            (pewter:molten_sanite)                                                           = Molten ÁéÉñ¸Ö
cthulhurite                                       (pewter:molten_cthulhurite)                                                      = Molten ¿ËËÕÂ³
azathothium                                       (pewter:molten_azathothium)                                                      = Molten °¢ÈöÍĞË¹
nyarlathotepium                                   (pewter:molten_nyarlathotepium)                                                  = Molten ÄÎÑÇÀ­ÍĞÌáÆÕ
yogsothothium                                     (pewter:molten_yogsothothium)                                                    = Molten ÓÌ¸ñ¡¤Ë÷ÍĞË¹
shubniggurathium                                  (pewter:molten_shubniggurathium)                                                 = Molten É¯²¼¡¤Äá¹ÅÀ­Ë¿
balanced_matrix                                   (pewter:molten_balanced_matrix)                                                  = Molten Æ½ºâ¾ØÕó
harcadium                                         (pewter:molten_harcadium)                                                        = Molten Ä©¾§
void_essence                                      (pewter:molten_void_essence)                                                     = Molten Ğé¿Õ¾«»ª
adamantium                                        (pewter:molten_adamantium)                                                       = Molten °¬µÂÂüºÏ½ğ
blackhole_alloy                                   (pewter:molten_blackhole_alloy)                                                  = Molten ºÚ¶´ºÏ½ğ
creative_alloy                                    (pewter:molten_creative_alloy)                                                   = Molten ´´ÊÀºÏ½ğ
astronicium                                       (pewter:molten_astronicium)                                                      = Molten Ì«¿ÕºÏ½ğ
raisium                                           (pewter:molten_raisium)                                                          = Molten ÑïÉıºÏ½ğ
compressite                                       (pewter:molten_compressite)                                                      = Molten ¼«ÃÜºÏ½ğ
ruthenium                                         (pewter:molten_ruthenium)                                                        = Molten îÉ
rhodium                                           (pewter:molten_rhodium)                                                          = Molten îî
